latitud,longitud,temp_media_marzo,temp_media_abril,temp_media_mayo,precipitacion_marzo,precipitacion_abril,precipitacion_mayo,tipo_suelo,ph_suelo,cultivo_anterior,materia_organica_pct,provincia
-36.068901583703806,-62.14793774273717,20.82322580645161,14.986333333333338,8.366451612903226,128.0,79.0,49.0,Franca,7.061419486999512,Maiz,2.5493189512873475,Buenos Aires
-27.284262206646915,-65.33392991315141,24.76483870967742,19.538666666666664,11.155806451612902,122.0,50.0,14.0,Arenosa,7.56711483001709,Cana de azucar,1.7901821823271036,Catamarca
-31.90758480914053,-62.05927968069908,23.974516129032253,18.30633333333333,10.757741935483867,136.0,72.0,45.0,Franco limosa,6.603912830352783,Soja,2.2586203940339256,Cordoba
-24.2807894489893,-65.11766757128225,24.256774193548384,21.140333333333334,14.058709677419355,158.0,52.0,8.0,Areno-gravillosa,7.126084804534912,Cana de azucar,2.832201273665482,Jujuy
-33.20475828215448,-61.282781634847936,22.656774193548387,17.544,10.498709677419356,134.0,76.0,47.0,Franco limosa,6.13332986831665,Soja,2.4098223381174972,Santa Fe
